TimeInterval,Function,HitCount,Percentage,Time(ms),Time/Hit
0,b2ParticleSystem::AddContact,13,0.0065,1.399,0.107615
0,b2ParticleSystem::SolveDamping,12,0.006,0.7771,0.0647583
0,b2Vec2::b2Vec2,8,0.004,0.7466,0.093325
0,b2ParticleContact::SetNormal,8,0.004,0.72,0.09
0,b2ParticleContact::GetWeight,6,0.003,0.4422,0.0737
0,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,6,0.003,0.4076,0.0679333
0,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,4,0.002,0.3529,0.088225
0,b2ParticleSystem::SolvePressure,4,0.002,0.3042,0.07605
0,std::move<b2ParticleSystem::Proxy &>,3,0.0015,0.3657,0.1219
0,b2PolygonShape::RayCast,3,0.0015,0.1921,0.0640333
0,b2ParticleSystem::UpdateProxies_Reference,3,0.0015,0.2397,0.0799
0,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,3,0.0015,0.206,0.0686667
0,b2GrowableBuffer<b2ParticleContact>::GetCount,3,0.0015,0.1963,0.0654333
0,b2ParticleSystem::ComputeAABB,3,0.0015,0.2587,0.0862333
0,b2Vec2::operator-=,2,0.001,0.16,0.08
0,std::_Prev_iter<b2ParticleSystem::Proxy *>,2,0.001,0.1043,0.05215
0,b2World::Step,2,0.001,0.3527,0.17635
0,b2ParticleContact::SetWeight,2,0.001,0.1618,0.0809
0,b2Vec2::operator+=,2,0.001,0.1738,0.0869
0,b2GrowableBuffer<b2ParticleContact>::Append,1,0.0005,0.0583,0.0583
0,b2ParticleContact::SetFlags,1,0.0005,0.0974,0.0974
0,b2ParticleSystem::SolveCollision,1,0.0005,0.0576,0.0576
0,b2Vec2::LengthSquared,1,0.0005,0.1074,0.1074
0,b2ParticleSystem::FindContacts_Reference,1,0.0005,0.0689,0.0689
0,std::swap<b2ParticleSystem::Proxy0>,1,0.0005,0.0921,0.0921
0,b2ParticleSystem::Solve,1,0.0005,0.0716,0.0716
0,b2ParticleContact::GetIndexB,1,0.0005,0.0727,0.0727
0,std::_Med3_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.2293,0.2293
0,b2ParticleContact::GetIndexA,1,0.0005,0.0797,0.0797
0,`b2ParticleSystem::UpdateBodyContacts'::`2'::UpdateBodyContactsCallback::ReportFixtureAndParticle,1,0.0005,0.0549,0.0549
0,std::_Insertion_sort_unchecked<b2ParticleSystem::Proxy *std::less<void> >,1,0.0005,0.1427,0.1427
0,b2Vec2::Length,1,0.0005,0.0338,0.0338
0,b2ParticleContact::GetNormal,1,0.0005,0.071,0.071
0,b2PolygonShape::ComputeDistance,1,0.0005,0.0367,0.0367
