TimeInterval,Function,HitCount,Percentage,Time(ms),Time/Hit
0,NtUserMsgWaitForMultipleObjectsEx,215,0.1075,29.3241,0.136391
0,NtQueryInformationThread,51,0.0255,3.805,0.0746078
0,ZwWaitForSingleObject,23,0.0115,2.5161,0.109396
0,b2InvSqrt,15,0.0075,1.2376,0.0825067
0,b2ParticleSystem::AddContact,13,0.0065,1.399,0.107615
0,operator-,12,0.006,0.8836,0.0736333
0,b2ParticleSystem::SolveDamping,12,0.006,0.7771,0.0647583
0,operator<,11,0.0055,1.1562,0.105109
0,b2Vec2::b2Vec2,8,0.004,0.7466,0.093325
0,b2ParticleContact::SetNormal,8,0.004,0.72,0.09
0,operator*,7,0.0035,0.3969,0.0567
0,b2ParticleContact::GetWeight,6,0.003,0.4422,0.0737
0,std::less<void>::operator()<b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &>,6,0.003,0.4076,0.0679333
0,b2Dot,5,0.0025,0.4993,0.09986
0,NtUserGetKeyState,5,0.0025,0.4362,0.08724
0,NtUserPeekMessage,5,0.0025,0.385,0.077
0,std::_Debug_lt_pred<std::less<void> &b2ParticleSystem::Proxy &b2ParticleSystem::Proxy &0>,4,0.002,0.3529,0.088225
0,b2ParticleSystem::SolvePressure,4,0.002,0.3042,0.07605
0,NtDelayExecution,4,0.002,0.4193,0.104825
0,b2Min<float>,4,0.002,0.2191,0.054775
0,NtUserSetWindowPos,3,0.0015,0.2749,0.0916333
0,computeTag,3,0.0015,0.3464,0.115467
0,std::move<b2ParticleSystem::Proxy &>,3,0.0015,0.3657,0.1219
0,b2PolygonShape::RayCast,3,0.0015,0.1921,0.0640333
0,b2ParticleSystem::UpdateProxies_Reference,3,0.0015,0.2397,0.0799
0,`b2ParticleSystem::SolveCollision'::`2'::SolveCollisionCallback::ReportFixtureAndParticle,3,0.0015,0.206,0.0686667
0,b2GrowableBuffer<b2ParticleContact>::GetCount,3,0.0015,0.1963,0.0654333
0,b2ParticleSystem::ComputeAABB,3,0.0015,0.2587,0.0862333
0,_RTC_CheckStackVars,3,0.0015,0.1919,0.0639667
0,NtUserWindowFromDC,2,0.001,0.1412,0.0706
0,b2Vec2::operator-=,2,0.001,0.16,0.08
0,std::_Prev_iter<b2ParticleSystem::Proxy *>,2,0.001,0.1043,0.05215
